id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_157,split_words,0.9839,0.9839,0.0,0.9707,0.9707,0.0
nc_158,spelling_variation,0.9672,0.9672,0.0,0.9139,0.9139,0.0
nc_159,dropped_function_words,0.8197,0.8197,0.0,0.7523,0.7523,0.0
nc_160,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_161,mixed_noise,0.9344,0.9344,0.0,0.7828,0.7828,0.0
nc_162,missing_punctuation,0.9643,0.9643,0.0,0.9217,0.9217,0.0
nc_163,merged_words,0.9821,0.9821,0.0,0.937,0.937,0.0
nc_164,split_words,0.9825,0.9825,0.0,0.9487,0.9487,0.0
nc_165,spelling_variation,0.9464,0.9464,0.0,0.8542,0.8542,0.0
nc_166,dropped_function_words,0.9464,0.9464,0.0,0.9221,0.9221,0.0
nc_167,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_168,mixed_noise,0.9286,0.9286,0.0,0.9067,0.9067,0.0
nc_169,missing_punctuation,0.9767,1.0,0.0233,0.9801,1.0,0.0199
nc_170,merged_words,0.9535,0.9535,0.0,0.8315,0.8315,0.0
nc_171,split_words,0.9556,0.9556,0.0,0.8642,0.8642,0.0
nc_172,spelling_variation,0.9767,0.9767,0.0,0.9162,0.9162,0.0
nc_173,dropped_function_words,0.8605,0.8605,0.0,0.7894,0.7894,0.0
nc_174,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_175,mixed_noise,0.7209,0.7209,0.0,0.6744,0.6744,0.0
nc_176,missing_punctuation,0.92,0.92,0.0,0.8073,0.8073,0.0
nc_177,merged_words,0.96,0.96,0.0,0.8701,0.8701,0.0
nc_178,split_words,0.9615,0.9615,0.0,0.899,0.899,0.0
nc_179,spelling_variation,0.92,0.92,0.0,0.8859,0.8859,0.0
nc_180,dropped_function_words,0.84,0.84,0.0,0.7689,0.7689,0.0
nc_181,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_182,mixed_noise,0.92,0.92,0.0,0.8073,0.8073,0.0
nc_183,missing_punctuation,0.9787,1.0,0.0213,0.9819,1.0,0.0181
nc_184,merged_words,0.9574,0.9574,0.0,0.8471,0.8471,0.0
nc_185,split_words,0.9792,0.9792,0.0,0.9498,0.9498,0.0
nc_186,spelling_variation,0.9787,0.9787,0.0,0.9239,0.9239,0.0
nc_187,dropped_function_words,0.9574,0.9574,0.0,0.9245,0.9245,0.0
nc_188,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_189,mixed_noise,0.9792,0.9792,0.0,0.938,0.938,0.0
nc_190,missing_punctuation,0.871,0.871,0.0,0.7032,0.7032,0.0
nc_191,merged_words,0.9677,0.9677,0.0,0.8793,0.8793,0.0
nc_192,split_words,0.9688,0.9688,0.0,0.9209,0.9209,0.0
nc_193,spelling_variation,0.9032,0.9032,0.0,0.746,0.746,0.0
nc_194,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_195,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_196,mixed_noise,0.8438,0.8438,0.0,0.6765,0.6765,0.0
nc_197,missing_punctuation,0.9804,1.0,0.0196,0.9834,1.0,0.0166
nc_198,merged_words,0.9608,0.9608,0.0,0.8601,0.8601,0.0
nc_199,split_words,0.9808,0.9808,0.0,0.9433,0.9433,0.0
nc_200,spelling_variation,0.9804,0.9804,0.0,0.9265,0.9265,0.0
nc_201,dropped_function_words,0.7647,0.7647,0.0,0.7167,0.7167,0.0
nc_202,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_203,mixed_noise,0.9608,0.9804,0.0196,0.9134,0.9303,0.0169
nc_204,missing_punctuation,0.9861,0.9861,0.0,0.9884,0.9592,-0.0293
nc_205,merged_words,0.9722,0.9583,-0.0139,0.9032,0.8619,-0.0413
nc_206,split_words,0.96,0.96,0.0,0.89,0.89,0.0
nc_207,spelling_variation,1.0,0.9861,-0.0139,1.0,0.9592,-0.0408
nc_208,dropped_function_words,0.9028,0.8889,-0.0139,0.8927,0.8507,-0.042
nc_209,number_format_noise,1.0,0.9861,-0.0139,1.0,0.9592,-0.0408
nc_210,mixed_noise,0.8472,0.8472,0.0,0.8438,0.8438,0.0
nc_211,missing_punctuation,0.94,0.96,0.02,0.8431,0.8608,0.0177
nc_212,merged_words,0.98,0.98,0.0,0.9288,0.9288,0.0
nc_213,split_words,0.9615,0.9615,0.0,0.8882,0.8882,0.0
nc_214,spelling_variation,0.94,0.94,0.0,0.839,0.839,0.0
nc_215,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_216,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_217,mixed_noise,0.9,0.9,0.0,0.7607,0.7607,0.0
nc_218,missing_punctuation,0.9818,0.9636,-0.0182,0.9847,0.871,-0.1137
nc_219,merged_words,0.9818,0.9455,-0.0364,0.9358,0.8058,-0.13
nc_220,split_words,0.9821,0.9455,-0.0367,0.9477,0.8252,-0.1225
